연번,관할,기관명칭,소재지(도로명주소),세부위치,전화번호
1,중구,중구보건소,"인천광역시 중구 참외전로72번길 21(전동, 중구보건소)",보건소 내 1층,032-760-6010
2,중구,국제도시보건과,인천광역시 중구 운남서로 100-1,국제도시보건과 내,032-760-6010
3,중구,용유보건지소,인천광역시 중구 마시란로 308-13,보건지소 내,032-760-6010
4,중구,무의보건진료소,인천광역시 중구 대무의로 310-11(무의동 246-7),보건진료소 내,032-760-6010
5,중구,중구1청사 민원지적과,인천광역시 중구 신포로27번길 80,민원지적과 내,032-760-6010
6,중구,신흥동 행정복지센터,인천광역시 중구 제물량로80번길 3-14,센터 내,032-760-6010
7,중구,도원동 행정복지센터,인천광역시 중구 도원로 42,센터 내,032-760-6010
8,중구,율목동 행정복지센터,인천광역시 중구 서해대로483번길 3,센터 내,032-760-6010
9,중구,동인천동 행정복지센터,인천광역시 중구 참외전로72번길 25,센터 내,032-760-6010
10,중구,북성동 행정복지센터,인천광역시 중구 차이나타운로44번길 13-2,센터 내,032-760-6010
11,중구,송월동 행정복지센터,인천광역시 중구 참외전로37번길 5,센터 내,032-760-6010
12,중구,운서동 행정복지센터,인천광역시 중구 흰바위로27번길 10,센터 내,032-760-6010
13,중구,연안동 행정복지센터,인천광역시 중구 축항대로86번길 44,센터 내,032-760-6010
14,동구,동구보건소,인천광역시 동구 석수로 90,보건소 민원실,032-770-5700
15,미추홀구,미추홀구보건소,인천광역시 미추홀구 주안서로 25,보건소 1층 민원실 앞,032-880-5324
16,연수구,연수구 보건소,인천광역시 연수구 함박뫼로 13,보건소 정문 앞,032-749-8043
17,연수구,연수구청,인천광역시 연수구 원인재로 115,1층 ,032-749-7114
18,연수구,옥련1동 행정복지센터,인천광역시 연수구 비류대로186번길 14,센터 내,032-749-6000
19,연수구,옥련2동 행정복지센터,인천광역시 연수구 옥련로 82,센터 내,032-749-6060
20,연수구,선학동 행정복지센터,인천광역시 연수구 선학로 54,센터 내,032-749-6100
21,연수구,연수1동 행정복지센터,인천광역시 연수구 함박뫼로 127,센터 내,032-749-6150
22,연수구,연수2동 행정복지센터,인천광역시 연수구 원인재로 158,센터 내,032-749-6200
23,연수구,연수3동 행정복지센터,인천광역시 연수구 원인재로 283,센터 내,032-749-6250
24,연수구,청학동 행정복지센터,인천광역시 연수구 비류대로294번길 26,센터 내,032-749-6300
25,연수구,동춘1동 행정복지센터,인천광역시 연수구 먼우금로 117,센터 내,032-749-6350
26,연수구,동춘2동 행정복지센터,인천광역시 연수구 먼우금로 41,센터 내,032-749-6400
27,연수구,동춘3동 행정복지센터,인천광역시 연수구 원인재로 110,센터 내,032-749-6450
28,연수구,송도1동 행정복지센터,인천광역시 연수구 하모니로35번길 8,센터 내,032-749-6500
29,연수구,송도2동 행정복지센터,인천광역시 연수구 신송로 248,센터 내,032-749-6550
30,연수구,송도3동 행정복지센터,인천광역시 연수구 송도교육로 61,센터 내,032-749-6780
31,연수구,송도4동 행정복지센터,인천광역시 연수구 컨벤시아대로230번길 42,센터 내,032-749-6850
32,연수구,송도5동 행정복지센터,인천광역시 연수구 인천타워대로 501,센터 내,032-749-6980
33,연수구,송도 건강생활지원센터,인천광역시 연수구 인천타워대로54번길 19,1층 우편함옆,032-749-6915
34,연수구,열린약국,"인천광역시 연수구 먼우금로 194, 1층 117호 (연수동)",약국 내,032-812-8611
35,연수구,송도캠퍼스약국,인천광역시 연수구 송도과학로27번길 55 롯데캐슬캠퍼스타운상가 A동 3층,약국 내,032-819-4450
36,연수구,송도우리약국,인천광역시 연수구 송도문화로84번길 24,약국 내,032-813-0507
37,연수구,동아온누리약국,"인천광역시 연수구 앵고개로264번길 10-1 (동춘동, 아촌빌딩)",약국 내,032-812-7582
38,연수구,센트럴파크약국,인천광역시 연수구 컨벤시아대로130번길 14,약국 내,032-831-7507
39,연수구,하늘약국,인천광역시 연수구 컨벤시아대로 177,약국 내,070-4159-8817
40,연수구,송도신세계약국,인천광역시 연수구 해돋이로 107 송도더샵퍼스트월드 H동 1층 8호,약국 내,032-835-7045
41,연수구,원약국,인천광역시 연수구 먼우금로 189 (청학동),약국 내,032-218-1007
42,연수구,백화점온누리약국,인천광역시 연수구 비류대로 208 (옥련동),약국 내,032-831-4787
43,연수구,천세약국,"인천광역시 연수구 청능대로 87, 지하1층 (청학동, 롯데마트 연수점 내)",약국 내,032-811-0107
44,연수구,송도프라자약국,인천광역시 연수구 한나루로 194-3,약국 내,032-831-8318
45,연수구,효성약국,"인천광역시 연수구 원인재로 88, 101호 (동춘동, 대우삼환아파트상가)",약국 내,032-814-7997
46,연수구,정명약국,인천광역시 연수구 청학로15번길 4 (청학동),약국 내,032-833-4557
47,연수구,송도건강온누리약국,인천광역시 연수구 컨벤시아대로 69 송도 밀레니엄빌딩 4층,약국 내,032-858-7792
48,연수구,행복한우리약국,"인천광역시 연수구 앵고개로 256, 101호 (동춘동, 웅지프라자)",약국 내,032-818-0301
49,연수구,무지개약국,인천광역시 연수구 새말로 31 (연수동),약국 내,032-818-5225
50,연수구,종로약국,"인천광역시 연수구 앵고개로 250, 1층 (동춘동)",약국 내,032-822-3746
51,연수구,온누리현대약국,인천광역시 연수구 독배로40번길 29 (옥련동),약국 내,032-831-4822
52,연수구,누리약국,"인천광역시 연수구 원인재로 14, 101호 (동춘동, 무지개상가)",약국 내,032-818-0591
53,연수구,최현수약국,인천광역시 연수구 비류대로 429 (연수동),약국 내,032-814-1333
54,연수구,둥지온누리약국,인천광역시 연수구 함박뫼로 26 (청학동),약국 내,032-818-5549
55,연수구,화랑약국,"인천광역시 연수구 원인재로 312, 104호 (연수동, 경남아파트상가)",약국 내,032-813-0282
56,연수구,효성메디칼약국,"인천광역시 연수구 청능대로 93, 102호 (청학동, 두손빌딩)",약국 내,032-811-7997
57,연수구,동인천약국,"인천광역시 연수구 선학로 101, 104호 (선학동, 뉴서울상가)",약국 내,032-814-4101
58,남동구,남동구보건소,인천광역시 남동구 소래로 633,보건소 1층 현관 ,032-464-4001
59,남동구,구월1동행정복지센터,인천광역시 남동구 선수촌공원로 104,1층 민원실내,032-453-5220
60,남동구,구월2동행정복지센터,인천광역시 남동구 구월로 208,1층 민원실내,032-453-5240
61,남동구,구월3동행정복지센터,인천광역시 남동구 문화서로 84,2층 민원실내,032-453-5260
62,남동구,구월4동행정복지센터,인천광역시 남동구 구월말로 7,1층 청사입구,032-453-5280
63,남동구,간석1동행정복지센터,인천광역시 남동구 구월로137번길 39,1층 민원실내,032-453-5300
64,남동구,간석2동행정복지센터,인천광역시 남동구 남동대로916번길 47,2층 민원실내,032-453-5320
65,남동구,간석3동행정복지센터,인천광역시 남동구 용천로 186,2층 민원실내,032-453-5340
66,남동구,간석4동행정복지센터,인천광역시 남동구 석정로 575,3층 민원실내,032-453-5360
67,남동구,만수1동행정복지센터,인천광역시 남동구 인주대로 851,1층 민원실내,032-453-5380
68,남동구,만수2동행정복지센터,인천광역시 남동구 만수서로 46,1층 민원실내,032-453-5400
69,남동구,만수3동행정복지센터,인천광역시 남동구 서판로 11,1층 민원실내,032-453-5420
70,남동구,만수4동행정복지센터,인천광역시 남동구 만수로50번길 39,1층 민원실내,032-453-5440
71,남동구,만수5동행정복지센터,인천광역시 남동구 구월로 303,5층 민원실내,032-453-5460
72,남동구,만수6동행정복지센터,인천광역시 남동구 장승남로 47,1층 민원실내,032-453-5480
73,남동구,장수서창동행정복지센터,인천광역시 남동구 독곡로 28,1층 민원실내,032-453-5500
74,남동구,서창2동행정복지센터,인천광역시 남동구 서창남순환로 43,1층 민원실내,032-453-5170
75,남동구,남촌도림동행정복지센터,인천 남동구 남촌동로25번길 43,3층 민원실내,032-453-5520
76,남동구,논현1동행정복지센터,인천광역시 남동구 소래역로 115,1층 민원실내,032-453-5560
77,남동구,논현2동행정복지센터,인천광역시 남동구 논현고잔로 248,1층 민원실내,032-453-5540
78,남동구,논현고잔동행정복지센터,인천광역시 남동구 앵고개로847번길 32,1층 민원실내,032-453-5580
79,부평구,부평구보건소,인천광역시 부평구 부흥로 291(부평동),2층 보건행정과 사무실 내,032-509-8200
80,부평구,청천보건지소,인천광역시 부평구 마장로410번길 5(청천동),청천보건지소 1층 진료민원실 내,032-509-8950
81,부평구,부평구청,인천광역시 부평구 부평대로 168(부평동),구청 1층 하나로민원과 입구,032-504-2114
82,부평구,부평1동 행정복지센터,인천광역시 부평구 부평문화로 37번길 1(부평동),행정복지센터 1층 민원실 내,032-509-8300
83,부평구,부평2동 행정복지센터,인천광역시 부평구  부영로 23 (부평동),행정복지센터 1층 입구,032-509-8310
84,부평구,부평3동 행정복지센터,"인천광역시 부평구 마장로 82, 2층(십정동)",행정복지센터 2층 민원실 내,032-509-8320
85,부평구,부평4동 행정복지센터,"인천광역시 부평구 장제로 145, 2층(부평동)",행정복지센터 2층 엘리베이터 앞 ,032-509-8330
86,부평구,부평5동 행정복지센터,인천광역시 부평구 부평문화로106번길 17(부평동),행정복지센터 1층 민원실 내,032-509-8340
87,부평구,부평6동 행정복지센터,인천광역시 부평구 동수로 70(부평동),행정복지센터 1층 민원실 내,032-509-8350
88,부평구,산곡1동 행정복지센터,인천광역시 부평구 마장로319번길 52(산곡동),행정복지센터 1층 민원실 내,032-509-8360
89,부평구,산곡2동 행정복지센터,인천광역시 부평구 안남로 255(산곡동,행정복지센터 1층 입구,032-509-8370
90,부평구,산곡3동 행정복지센터,인천광역시 부평구 경원대로 1269-2(산곡동),행정복지센터 1층 민원실 내,032-509-8380
91,부평구,산곡4동 행정복지센터,인천광역시 부평구 부흥로173번길 68(산곡동),행정복지센터 1층 민원실 내,032-509-8390
92,부평구,청천1동 행정복지센터,인천광역시 부평구 산청로127번길 3(청천동),행정복지센터 1층 민원실 내,032-509-8400
93,부평구,청천2동 행정복지센터,인천광역시 부평구 마장로 410번길 5(청천동),행정복지센터 1층 입구,032-509-8410
94,부평구,갈산1동 행정복지센터,인천광역시 부평구 주부토로 254(갈산동),행정복지센터 1층 민원실 내,032-509-8420
